,org_id,org_lat,org_long,des_id,des_lat,des_long,dist_drive_2pm_mi_pes,dur_drive_2pm_mins_pes,dist_transit_2pm_sat_mi_pes,dur_transit_2pm_sat_mins_pes,dist_drive_6pm_mi_pes,dur_drive_6pm_mins_pes,dist_drive_9am_mi_pes,dur_drive_9am_mins_pes,dist_walk_mi,dur_walk_secs
13,152.0,40.71474,-74.009106,459.0,40.746745,-74.007756,2.6,21.0,2.6,13.0,2.6,21.0,2.6,20.0,2.4,2838.0
14,152.0,40.71474,-74.009106,534.0,40.702551,-74.012723,1.1,19.0,1.1,10.0,1.1,17.0,1.1,19.0,1.0,1178.0
15,152.0,40.71474,-74.009106,406.0,40.695128,-73.995951,2.5,22.0,2.5,14.0,2.5,28.0,2.5,22.0,2.2,2660.0
16,152.0,40.71474,-74.009106,239.0,40.691966,-73.981302,2.8,25.0,2.8,15.0,2.8,32.0,2.8,25.0,2.5,3049.0
17,152.0,40.71474,-74.009106,242.0,40.697883,-73.973503,3.0,26.0,3.0,15.0,3.2,30.0,3.0,26.0,2.6,3098.0
18,152.0,40.71474,-74.009106,217.0,40.702772,-73.993836,2.0,16.0,2.0,10.0,2.0,23.0,2.0,16.0,1.8,2233.0
19,152.0,40.71474,-74.009106,364.0,40.689004,-73.960239,3.9,35.0,3.9,20.0,3.9,42.0,3.9,36.0,3.7,4631.0
20,2022.0,40.758491,-73.959206,493.0,40.7568,-73.982912,1.7,24.0,1.7,14.0,1.7,26.0,1.7,27.0,1.7,2136.0
21,2022.0,40.758491,-73.959206,348.0,40.72491,-74.001547,5.1,31.0,5.1,21.0,5.1,33.0,5.1,33.0,3.8,4644.0
22,2022.0,40.758491,-73.959206,382.0,40.734927,-73.992005,3.5,27.0,3.5,17.0,3.5,27.0,3.5,27.0,2.9,3600.0
23,2022.0,40.758491,-73.959206,459.0,40.746745,-74.007756,4.4,38.0,4.4,23.0,4.4,39.0,4.4,40.0,3.7,4556.0
24,2022.0,40.758491,-73.959206,534.0,40.702551,-74.012723,6.1,16.0,6.1,12.0,6.1,18.0,6.1,17.0,5.1,6186.0
25,2022.0,40.758491,-73.959206,406.0,40.695128,-73.995951,7.4,28.0,7.4,20.0,7.4,39.0,7.4,27.0,6.0,7335.0
26,2022.0,40.758491,-73.959206,239.0,40.691966,-73.981302,7.8,30.0,7.8,21.0,7.8,43.0,7.8,31.0,5.9,7176.0
27,2022.0,40.758491,-73.959206,242.0,40.697883,-73.973503,7.9,32.0,7.9,21.0,7.9,44.0,7.9,32.0,6.0,7255.0
28,2022.0,40.758491,-73.959206,217.0,40.702772,-73.993836,6.9,22.0,6.9,16.0,6.9,36.0,6.9,21.0,5.6,6838.0
29,2022.0,40.758491,-73.959206,364.0,40.689004,-73.960239,8.9,40.0,7.1,28.0,7.1,51.0,8.9,42.0,6.5,7915.0
30,3002.0,40.711512,-74.015756,493.0,40.7568,-73.982912,6.7,34.0,6.7,21.0,6.7,33.0,6.7,42.0,3.8,4724.0
31,3002.0,40.711512,-74.015756,348.0,40.72491,-74.001547,1.7,19.0,1.7,12.0,1.7,19.0,1.7,20.0,1.3,1696.0
32,3002.0,40.711512,-74.015756,382.0,40.734927,-73.992005,2.7,28.0,2.7,19.0,2.7,30.0,2.7,30.0,2.2,2797.0
33,3002.0,40.711512,-74.015756,459.0,40.746745,-74.007756,2.7,22.0,2.7,13.0,2.7,21.0,2.7,21.0,2.6,3040.0
34,3002.0,40.711512,-74.015756,534.0,40.702551,-74.012723,0.9,11.0,0.9,7.0,0.9,10.0,0.9,14.0,0.8,1026.0
35,3002.0,40.711512,-74.015756,406.0,40.695128,-73.995951,3.7,17.0,3.7,12.0,3.7,18.0,3.7,18.0,2.5,3050.0
36,3002.0,40.711512,-74.015756,239.0,40.691966,-73.981302,4.3,25.0,4.3,16.0,5.8,27.0,4.3,27.0,2.7,3440.0
37,3002.0,40.711512,-74.015756,242.0,40.697883,-73.973503,4.4,26.0,5.7,16.0,5.7,25.0,4.4,28.0,2.8,3489.0
38,3002.0,40.711512,-74.015756,217.0,40.702772,-73.993836,3.5,17.0,3.5,12.0,4.5,22.0,3.5,17.0,1.6,1653.0
39,3002.0,40.711512,-74.015756,364.0,40.689004,-73.960239,5.4,35.0,7.2,21.0,7.2,34.0,5.4,38.0,4.0,5022.0
40,412.0,40.715815,-73.994224,493.0,40.7568,-73.982912,5.1,35.0,5.1,21.0,5.1,35.0,5.1,38.0,3.1,3836.0
