,org_id,org_lat,org_long,des_id,des_lat,des_long,dist_drive_2pm_mi_pes,dur_drive_2pm_mins_pes,dist_transit_2pm_sat_mi_pes,dur_transit_2pm_sat_mins_pes,dist_drive_6pm_mi_pes,dur_drive_6pm_mins_pes,dist_drive_9am_mi_pes,dur_drive_9am_mins_pes,dist_walk_mi,dur_walk_secs
68,446.0,40.744876,-73.995299,345.0,40.736494,-73.997044,1.1,16.0,1.1,7.0,1.1,14.0,1.1,16.0,0.7,923.0
69,446.0,40.744876,-73.995299,267.0,40.750977,-73.987654,1.0,17.0,1.0,8.0,1.0,15.0,1.0,16.0,0.7,880.0
70,458.0,40.751396,-74.005226,405.0,40.739323,-74.008119,0.9,11.0,0.9,7.0,0.9,12.0,0.9,12.0,0.9,1159.0
71,458.0,40.751396,-74.005226,223.0,40.737815,-73.999947,1.8,20.0,1.8,12.0,1.8,20.0,1.8,23.0,1.3,1569.0
72,458.0,40.751396,-74.005226,410.0,40.720664,-73.98518,6.9,36.0,6.9,22.0,6.9,37.0,3.2,38.0,2.9,3579.0
73,458.0,40.751396,-74.005226,320.0,40.717571,-74.005549,2.8,29.0,2.8,16.0,2.8,27.0,2.8,31.0,2.6,3153.0
74,458.0,40.751396,-74.005226,489.0,40.750664,-74.001768,0.3,4.0,0.3,3.0,0.3,4.0,0.3,4.0,0.2,300.0
75,458.0,40.751396,-74.005226,263.0,40.71729,-73.996375,2.9,32.0,2.9,18.0,2.9,30.0,2.9,31.0,2.9,3529.0
76,458.0,40.751396,-74.005226,2006.0,40.765909,-73.976342,2.6,31.0,2.6,17.0,2.8,26.0,2.8,32.0,2.4,2988.0
77,458.0,40.751396,-74.005226,402.0,40.740343,-73.989551,1.3,18.0,1.3,10.0,1.3,17.0,1.3,19.0,1.3,1592.0
78,458.0,40.751396,-74.005226,345.0,40.736494,-73.997044,1.9,23.0,1.9,13.0,1.9,24.0,1.9,26.0,1.4,1788.0
79,458.0,40.751396,-74.005226,267.0,40.750977,-73.987654,1.5,23.0,1.5,12.0,1.5,22.0,1.4,22.0,1.2,1534.0
80,356.0,40.716226,-73.982612,405.0,40.739323,-74.008119,5.6,30.0,5.6,20.0,2.9,38.0,5.6,35.0,2.5,3063.0
81,356.0,40.716226,-73.982612,223.0,40.737815,-73.999947,2.6,32.0,2.6,20.0,2.6,33.0,2.6,34.0,2.2,2713.0
82,356.0,40.716226,-73.982612,410.0,40.720664,-73.98518,0.8,9.0,0.8,6.0,0.8,10.0,0.8,10.0,0.5,568.0
83,356.0,40.716226,-73.982612,320.0,40.717571,-74.005549,1.4,21.0,1.4,13.0,1.4,19.0,1.4,23.0,1.4,1773.0
84,356.0,40.716226,-73.982612,489.0,40.750664,-74.001768,6.2,35.0,6.2,22.0,6.2,38.0,6.2,39.0,3.3,4008.0
85,356.0,40.716226,-73.982612,263.0,40.71729,-73.996375,1.0,17.0,1.0,12.0,1.0,19.0,1.0,16.0,0.9,1131.0
86,356.0,40.716226,-73.982612,2006.0,40.765909,-73.976342,5.6,38.0,5.6,22.0,5.6,38.0,5.6,38.0,4.1,5039.0
87,356.0,40.716226,-73.982612,402.0,40.740343,-73.989551,3.8,33.0,3.8,21.0,3.8,34.0,3.8,37.0,2.1,2635.0
88,356.0,40.716226,-73.982612,345.0,40.736494,-73.997044,2.4,30.0,2.4,19.0,2.4,30.0,2.4,32.0,2.0,2496.0
89,356.0,40.716226,-73.982612,267.0,40.750977,-73.987654,4.4,36.0,4.4,20.0,4.4,33.0,4.4,39.0,2.9,3584.0
90,335.0,40.729039,-73.994046,405.0,40.739323,-74.008119,1.3,16.0,1.3,12.0,1.3,16.0,1.3,15.0,1.2,1441.0
91,335.0,40.729039,-73.994046,223.0,40.737815,-73.999947,0.9,10.0,0.9,7.0,0.9,10.0,0.9,11.0,0.8,1008.0
92,335.0,40.729039,-73.994046,410.0,40.720664,-73.98518,1.0,15.0,1.0,10.0,1.1,17.0,1.1,16.0,0.9,1162.0
93,335.0,40.729039,-73.994046,320.0,40.717571,-74.005549,1.2,18.0,1.2,9.0,1.2,18.0,1.2,16.0,1.1,1336.0
94,335.0,40.729039,-73.994046,489.0,40.750664,-74.001768,2.2,24.0,2.2,15.0,2.2,24.0,2.2,24.0,2.0,2390.0
95,335.0,40.729039,-73.994046,263.0,40.71729,-73.996375,1.3,21.0,1.3,11.0,1.3,21.0,1.3,17.0,1.0,1198.0
96,335.0,40.729039,-73.994046,2006.0,40.765909,-73.976342,3.1,43.0,3.1,22.0,3.1,40.0,3.1,42.0,2.8,3462.0
97,335.0,40.729039,-73.994046,402.0,40.740343,-73.989551,1.4,18.0,1.4,11.0,1.4,18.0,1.4,18.0,0.9,1057.0
98,335.0,40.729039,-73.994046,345.0,40.736494,-73.997044,0.8,11.0,0.8,7.0,0.8,10.0,0.8,9.0,0.7,878.0
99,335.0,40.729039,-73.994046,267.0,40.750977,-73.987654,2.1,29.0,2.1,16.0,2.1,27.0,2.1,28.0,1.6,2006.0
